company_name,raised_amount_usd,homepage_url,short_description,current_url,facebook_url,twitter_url,linkedin_url
10sec,16e5,https://10s.ec/,A place for Instagramers to buy and sell.,https://10s.ec/,http://www.facebook.com/pages/10sec/599785866727507,http://twitter.com/10sec_team,NA
121nexus,34500.0,http://www.121nexus.com,"121nexus offers cloud-based track and trace solutions, integrated with product packaging, for biomedical manufacturers.",http://www.121nexus.com,http://www.facebook.com/121nexus,http://twitter.com/1to1nexus,http://www.linkedin.com/company/121nexus
12 Labs,935e3,http://www.getapplause.com/,Applause - Making Weight Loss Work,http://www.getapplause.com/,http://www.facebook.com/GetApplause,http://twitter.com/GetApplause,NA
15Five,22e5,http://15five.com,"15Five is a performance management platform that combines employee feedback, objectives (OKRs), pulse surveys, and peer recognition.",https://15five.com,http://www.facebook.com/15Five,http://twitter.com/15five,http://www.linkedin.com/company/15five
17hats,125e4,https://www.17hats.com,17hats is the simple business management app for solopreneurs.,https://www.17hats.com,https://www.facebook.com/17hatsHQ,https://twitter.com/17hatshq,https://www.linkedin.com/company/17hats
1DocWay,17e5,http://1docway.com,1DocWay is an online platform enabling patients to schedule appointments and see their doctors through video chat.,http://1docway.com,https://www.facebook.com/1DocWay/,http://twitter.com/1docway,https://www.linkedin.com/company/1docway
1Mind,5e5,http://1mind.com,1Mind is a social discovery app for discovering new friends and sharing interests.,http://1mind.com,NA,http://twitter.com/1Mind,NA
1-Page,15e5,http://www.1-page.com,1-Page (1PG:ASX) provides large enterprises with access to top talent by leveraging one of the world's largest professional databases.,https://www.1-page.com,https://www.facebook.com/1pagebiz/,https://twitter.com/1pagebiz,https://www.linkedin.com/company/the-one-page-company
20n,111e4,http://20n.com/,A computational synthetic biology company.,http://20n.com/,NA,https://twitter.com/tweet20n,https://www.linkedin.com/company/20n
2100b Sausalito LLC.,5e4,http://2100b.com,Digital Strategy Development,http://2100b.com,NA,NA,NA
